stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,10,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,130,0.31361540632939183,9999,82,139,959,0.03007872533952263,0.07681209421949,0.9324533524387484,0.8815293416554277,1
stage2,5,10,0.0,cosine,123,50,10.0,leaf,0.2,euclidean,ok,完成,136,0.282031176489038,8992,61,54,1153,0.03616347269704858,0.08873067151773673,0.9287584624930698,0.8867954709406267,1
stage2,5,10,0.0,cosine,2026,50,10.0,leaf,0.2,euclidean,ok,完成,138,0.2894646049618919,9229,75,74,1058,0.03318382837248691,0.0835554997961296,0.9281768548782895,0.8864943700404604,1
stage2,5,10,0.0,cosine,3407,50,10.0,leaf,0.2,euclidean,ok,完成,135,0.3148386287363172,10038,56,100,1064,0.0333720164350908,0.08226954803500298,0.934764291380153,0.8790828968415769,1
stage2,5,10,0.0,cosine,20240603,50,10.0,leaf,0.2,euclidean,ok,完成,133,0.3101025624941191,9887,50,71,797,0.024997647649217452,0.06398394128532446,0.9379872317250816,0.8866731486999342,1
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,163,0.334347457892921,10660,82,97,758,0.02377442524229213,0.06207069598218486,0.9516892577494229,0.8801492958629991,2
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,161,0.3019477464479503,9627,55,62,916,0.02873004422419471,0.07452247279114262,0.9448946101650652,0.885892168240128,2
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,160,0.2990935608317912,9536,75,74,1349,0.04231094940877584,0.08684879089169777,0.9360367946658072,0.8802088887494903,2
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,163,0.32738449957657684,10438,54,56,804,0.025217200388921997,0.06633629206787316,0.9490481473625,0.8809522315967757,2
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,166,0.3234639149389957,10313,50,71,727,0.022802120252172004,0.06207069598218486,0.9541470223525503,0.8837060502462126,2
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,163,0.334347457892921,10660,82,97,758,0.02377442524229213,0.06207069598218486,0.9516892577494229,0.8801492958629991,3
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,161,0.3019477464479503,9627,55,62,916,0.02873004422419471,0.07452247279114262,0.9448946101650652,0.885892168240128,3
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,160,0.2990935608317912,9536,75,74,1349,0.04231094940877584,0.08684879089169777,0.9360367946658072,0.8802088887494903,3
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,163,0.32738449957657684,10438,54,56,804,0.025217200388921997,0.06633629206787316,0.9490481473625,0.8809522315967757,3
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,166,0.3234639149389957,10313,50,71,727,0.022802120252172004,0.06207069598218486,0.9541470223525503,0.8837060502462126,3
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,163,0.334347457892921,10660,82,97,758,0.02377442524229213,0.06207069598218486,0.9516892577494229,0.8801492958629991,4
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,161,0.3019477464479503,9627,55,62,916,0.02873004422419471,0.07452247279114262,0.9448946101650652,0.885892168240128,4
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,160,0.2990935608317912,9536,75,74,1349,0.04231094940877584,0.08684879089169777,0.9360367946658072,0.8802088887494903,4
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,160,0.32522033685663204,10369,54,56,804,0.025217200388921997,0.06633629206787316,0.9484792210967052,0.8816014804127592,4
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,166,0.3234639149389957,10313,50,71,727,0.022802120252172004,0.06207069598218486,0.9541470223525503,0.8837060502462126,4
stage2,10,15,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,133,0.31835147257158986,10150,50,57,951,0.029827807922717435,0.07715710566759715,0.9347980915167965,0.8801147947181884,5
stage2,10,15,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,133,0.32961139165072295,10509,56,91,1100,0.034501144810714174,0.08032493805476272,0.9356472014417364,0.8747012514506163,5
stage2,10,15,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,144,0.3389580654267164,10807,56,54,965,0.030266913402126526,0.07442837875984067,0.9421595923343156,0.8743468305993791,5
stage2,10,15,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,130,0.3400871938023398,10843,56,51,960,0.030110090016623278,0.07445974343694131,0.9382265736278715,0.8740488661669228,5
stage2,10,15,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,139,0.3329360474233918,10615,56,54,1222,0.03832763541699338,0.09023617601856788,0.9328545970687164,0.8705736599441709,5
stage2,10,5,0.0,cosine,42,50,10.0,eom,0.2,euclidean,ok,完成,89,0.26870118872126214,8567,50,54,1482,0.04648245146316219,0.1268701188721262,0.883463414501019,0.8800708841702474,6
stage2,10,5,0.0,cosine,123,50,10.0,eom,0.2,euclidean,ok,完成,91,0.26158140701941474,8340,66,51,1987,0.062321613398990054,0.14619075996612615,0.8703144584994456,0.8735909418812533,6
stage2,10,5,0.0,cosine,2026,50,10.0,eom,0.2,euclidean,ok,完成,94,0.2415707430292005,7702,54,55,2193,0.0687827368817238,0.14926449832198976,0.8709153951294406,0.8770410563623248,6
stage2,10,5,0.0,cosine,3407,50,10.0,eom,0.2,euclidean,ok,完成,84,0.27177492707712575,8665,68,53,2781,0.08722516701690557,0.19624878461876236,0.846050190949968,0.8530502148480381,6
stage2,10,5,0.0,cosine,20240603,50,10.0,eom,0.2,euclidean,ok,完成,81,0.24966282972116802,7960,57,141,2819,0.08841702474673023,0.21751403569300254,0.8282823757911547,0.8550732365210301,6
stage2,10,5,0.0,cosine,42,50,10.0,leaf,0.2,euclidean,ok,完成,89,0.26870118872126214,8567,50,54,1482,0.04648245146316219,0.1268701188721262,0.883463414501019,0.8800708841702474,7
stage2,10,5,0.0,cosine,123,50,10.0,leaf,0.2,euclidean,ok,完成,91,0.26158140701941474,8340,66,51,1987,0.062321613398990054,0.14619075996612615,0.8703144584994456,0.8735909418812533,7
stage2,10,5,0.0,cosine,2026,50,10.0,leaf,0.2,euclidean,ok,完成,94,0.2415707430292005,7702,54,55,2193,0.0687827368817238,0.14926449832198976,0.8709153951294406,0.8770410563623248,7
stage2,10,5,0.0,cosine,3407,50,10.0,leaf,0.2,euclidean,ok,完成,85,0.2720572091710316,8674,68,53,2781,0.08722516701690557,0.19624878461876236,0.8451192278187951,0.8529655302198664,7
stage2,10,5,0.0,cosine,20240603,50,10.0,leaf,0.2,euclidean,ok,完成,81,0.24966282972116802,7960,57,141,2819,0.08841702474673023,0.21751403569300254,0.8282823757911547,0.8550732365210301,7
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.1,euclidean,ok,完成,157,0.32362073832449895,10318,111,61,864,0.02709908101496095,0.07562023648966534,0.94651532535426,0.8796600069002289,8
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.1,euclidean,ok,完成,154,0.28394442179217766,9053,78,55,1141,0.035787096571840794,0.0860960386412822,0.9382503625450518,0.886861336762538,8
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,161,0.28808455916946335,9185,75,74,819,0.025687670545431734,0.0727346861964056,0.9425721334148446,0.8913213938462503,8
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,143,0.31474453470501523,10035,82,74,1476,0.04629426340055829,0.09923783834645422,0.9289036537513173,0.871840792899037,8
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,162,0.30119499419753476,9603,88,77,779,0.024433083461405766,0.07044506476805822,0.9437470494108876,0.8882225637487062,8
stage2,10,15,0.0,cosine,42,50,5.0,eom,0.05,euclidean,ok,完成,135,0.3206097293228366,10222,50,57,951,0.029827807922717435,0.07715710566759715,0.9344309953197383,0.8794373176928143,9
stage2,10,15,0.0,cosine,123,50,5.0,eom,0.05,euclidean,ok,完成,136,0.3349433867578333,10679,56,91,1100,0.034501144810714174,0.08032493805476272,0.9364512586720772,0.8731016529184832,9
stage2,10,15,0.0,cosine,2026,50,5.0,eom,0.05,euclidean,ok,完成,145,0.3398676410626353,10836,56,54,965,0.030266913402126526,0.07442837875984067,0.9416410657304874,0.8740739579086034,9
stage2,10,15,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,132,0.3412790515321645,10881,56,51,960,0.030110090016623278,0.07445974343694131,0.9371196232505928,0.8736913088479754,9
stage2,10,15,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,141,0.33648025593576514,10728,56,54,1222,0.03832763541699338,0.09023617601856788,0.9318469884141422,0.8695103973904588,9
stage2,10,15,0.0,cosine,42,50,5.0,eom,0.0,euclidean,ok,完成,135,0.3206097293228366,10222,50,57,951,0.029827807922717435,0.07715710566759715,0.9344309953197383,0.8794373176928143,10
stage2,10,15,0.0,cosine,123,50,5.0,eom,0.0,euclidean,ok,完成,136,0.3349433867578333,10679,56,91,1100,0.034501144810714174,0.08032493805476272,0.9364512586720772,0.8731016529184832,10
stage2,10,15,0.0,cosine,2026,50,5.0,eom,0.0,euclidean,ok,完成,145,0.3398676410626353,10836,56,54,965,0.030266913402126526,0.07442837875984067,0.9416410657304874,0.8740739579086034,10
stage2,10,15,0.0,cosine,3407,50,5.0,eom,0.0,euclidean,ok,完成,132,0.3412790515321645,10881,56,51,960,0.030110090016623278,0.07445974343694131,0.9371196232505928,0.8736913088479754,10
stage2,10,15,0.0,cosine,20240603,50,5.0,eom,0.0,euclidean,ok,完成,141,0.33648025593576514,10728,56,54,1222,0.03832763541699338,0.09023617601856788,0.9318469884141422,0.8695103973904588,10
