Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,3476,-1_car_new_driving_experience,Noise / Outlier,"hybrid, vehicle, car, driving, drive, experience, warranty","car, new, standard, technology","car, new","Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || Plus, a standard 3-month SiriusXM PlatinumPlan trial subscription includes over 165 channels available in Cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || It'll help you stand out when you're ready to step up. Ready to see for yourself? || And it only gets better on the inside with paddle shifters and redesigned sports seats. || With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle."
0,1351,0_bmw_car_mercedes_benz,,"bmw, mercedes, cars, car, vehicles, vehicle, driving, benz, drive, electric","car, class, electric, new, series, cars, driving, vehicle, vehicles","bmw, car, mercedes, benz, class, electric, cars, driving","And the new Mercedes-Benz S-Class delivers on our promise of luxury like none other. || And that's not all. During our trip, I will show you some more amazing Mercedes me features of the new Mercedes-Benz S-Class. || Why is that so? Why is the Mercedes-Benz S-Class so special to you? || Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. || Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid. || I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
1,623,1_assist_parking_lane_traffic,,"blind, monitor, safety, parking, detection, driver, driving, view, steering, radar","assist, parking, lane, traffic, view, car, spot, blind, driver","assist, parking, lane, monitor, blind, driver, driving, alert, navigation","Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces. || Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert are designed to bring added peace of mind behind the wheel, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to assist drivers when maneuvering in tight spaces. || Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces. || This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims. || Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation. || Available exterior cameras and a host of sensors combine their information and can project a real-time 3D model of the Q8 in its environment on the infotainment screen, providing views never before possible."
2,533,2_led_rear_headlights_grille,,"headlights, lighting, taillights, led, lights, distinctive, style","rear, headlights, grille, light, lights, design, look, lighting","headlights, grille, design, lighting, black, hood, roof, car","The LED headlights are standard and can be upgraded with these adaptive LED headlights, taking over the blue accents of BMW laser light which is emitted. || But whichever Corolla proves the perfect fit, LED exterior lighting is standard, including headlights, tail lights, and daytime running lights. || Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen. || Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. || And you can really tell that the car's been designed around the driver. || Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard."
3,503,3_horsepower_torque_drive_engine,,"horsepower, motors, torque, motor, drive, engines, hybrid, engine","horsepower, torque, drive, engine, range, electric, motor, power, transmission","horsepower, torque, engine, range, electric, motor, transmission, kilometers, liter","Now, Elantra N Line steps up the performance with a 1.6-liter turbocharged four-cylinder engine that produces 201 horsepower and 195 pound-feet of torque with a seven-speed dual-clutch transmission. || The dual-motor all-wheel-drive models kick the power up a notch with 320 horsepower and 446 pound-feet of torque. || This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque. || The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. || Now this thing is fun to drive. It has a whopping 377 total system horsepower. || The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds."
4,502,4_charging_charge_battery_charger,,"charging, charge, charger, charged, recharge, chargers, battery, level, plug, volt","charging, charge, battery, charger, fast, level, volt, minutes, home, stations","charging, charge, charger, fast, level, volt, dc, home, stations, plug","To leverage that range, just charge it up. This can be done using the standard Level 1 charging cable connected to a regular wall outlet, or via an available 240-volt Level 2 charging solution, which brings the estimated charge time down to around 2.5 hours. || While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed. || So I see all the charging stations here. I know where to charge based off that. || The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this? || Weird. and there are many home charging options to fit your needs. || There's the included 9.6 kilowatt mobile plug-in charger, an available home installation charger, or even an available 19.2 kilowatt charging capability that includes charge ports on both sides."
5,338,5_seats_seat_space_rear seats,,"seats, seating, passengers, seat, cargo, spacious, occupants, trunk, rear, passenger","seats, seat, space, rear, heated, cargo, passengers, trunk, comfort","seats, space, rear, heated, cargo, passengers, trunk, comfortable, cubic, seating","Limited has ventilated front seats, available heated rear seats, along with a power back door. || Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips. || and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs. || And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. || Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers. || Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can"
6,284,6_interior_leather_materials_seats,,"interior, inside, design, architecture, luxurious, environment, luxury, upholstery, comfort","interior, leather, materials, seats, trim, design, upholstery, material, new, luxury","interior, leather, materials, seats, trim, design, upholstery, material, luxury, stitching","Plus, XSE offers two unique interior choices, including a red and black two-tone leather-trimmed interior with red stitching. || The interior design adds to a sporty, in-command driving experience. With the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor, it creates one of the four interior themes. || And then we progressed to the interior, and we said the same thing. || And then when you go to the interior it only gets better. || Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather. || The interior retains the same distinct design as its predecessor, an orchestration of shape, material, light and sound."
7,273,7_ride_hello_happy_world,,"excited, happy","ride, event",filtered_topic_terms_unavailable,"Scott, how was that ride? Chad, that ride was exhilarating. It felt confident and fun, yet comfortable all at the same time. || So after saying hello Europe, today in this event we start to say hello world. || I sure do. Hello, everyone, and thank you for joining our live stream. || And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you. || But this is not going to be a one-way communication. No, we want to engage in a dialogue with you. || Together, we're all All available after the presentation for your Q&As."
8,271,8_kia_ev6_india_ev,,"ev6, kia, ev, hyundai, ev9, ev4, e6, evs, vehicles, vehicle","new, sales, vehicles, performance, vehicle, edition","kia, ev6, ev, india, hyundai, ev9, evs, ev4, sales","We truly believe that the Kia EV6 is an embodiment of the new Kia. || When you drive an EV6, you will not just be driving one of Kia's most inventive designs. || The EV6 GT is the latest vehicle in the complete reimagining of the Kia brand in the U.S. and around the world. || And I can tell you, all model variants will meet the Euro 6D emission standard. || BYD has been sharpening the sword for 10 years now in the development of the next generation E6. || The E6 offers generous storage space with 580 liters of storage capacity."
9,269,9_amg_eqs_eqe_mercedes,,"mercedes, eqs, eqe, amg, eq, car, vehicles, benz, coupe, luxury","new, hyperscreen, door, electric, performance, car, luxury, coupe, air","amg, eqs, eqe, mercedes, gt, eq, sl, hyperscreen, door, performance","The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. || Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made. || I'm about to spend the day with the new EQS by Mercedes EQ. || With one click, you can return to the main menu from anywhere in the system. || can see i'm running into xDrive snowy mountains plus the M Sport because i really love driving myself Joy what are your highlights in terms of design on the new 3 Series? || The elegant aesthetic of the rear apron is underlined through a horizontal galvanized accent trim."
10,257,10_customers_product_brand_customer,,"hire, leader, culture, customers","customers, product, new, products",customers,"Is it relevant? Does it make the product better? Because ultimately we need to deliver the most engaging end product we can to the customer. || Indeed, I can tell you that the entire team has really put genuine care to create a product that our customers would truly love. || We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working. || You work as a team, but of course there's also a designer who, so to say, is in charge for that product upgrade. || How can we imagine how this works? How has the team work done. || Is everybody responsible for one particular segment or have you got a democratic vote at the end?"
11,212,11_elantra_sonata_hyundai_accord,,"hybrid, hyundai, elantra, sonata, sedan, trims, accord, vehicles, trim, 2021","hybrid, new, design, steel, strength, advanced, technology, vehicles, look","elantra, sonata, hyundai, accord, hybrid, camry, mirai, design, 2021, steel","This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. || So there we have it, the 2024 Hyundai Elantra and the 2024 Hyundai Elantra Hybrid with their sleek, refreshed styling, driver-oriented interior, user-friendly tech, and impressive safety features. These two sedans have something for just about everyone. || Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them. || So here on the side of the 2020 Q7, you'll notice that the overall silhouette has remained unchanged from the 2019 model except for the side skirt has been redesigned to make it a little bit more chiseled, a little bit more sporty. || So the C2 becomes the Nevada. Everybody at Rimac hopes that the Navera will live up to its name. || Now let's go to the production line and check out the evolution from the C2 to the Navera."
12,210,12_steering_rear_car_aerodynamics,,"steering, rear, steer, axle, turning, traction, vehicle, turn","steering, rear, car, aerodynamics, axle, aerodynamic, stability, speeds","steering, rear, car, axle, aerodynamic, stability, speeds, efficiency","Yeah, so around these turns, the rear axle steering helps you get just a little bit more responsive turn in for the car. || Nice. Wow, I can feel the rear steer. We have 10 degree rear axle steering standard which is really great for stability at high speeds and then also awesome for parking. || Yeah, so at the rear axle, we've got rear axle steering. It's 9 degrees, which is a really big number for rear axle steering. || The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too. || The available all-wheel steering system helps connect the driver to the road. || Rear wheel steering can turn the rear wheels up to five degrees, decreasing turn radius, easing parking, and increasing agility and higher speeds."
13,195,13_rav4_rav4 prime_prime_hybrid,,"rav4, toyota, hybrid, ev, suv, standard, prime, rear","hybrid, available, road, standard, edition, grade, plug, black","rav4, hybrid, trd, toyota, standard, black, nightshade, woodland","As a result, RAV4 Prime is among the quickest Toyota vehicles available. || And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more. || And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever. || Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more. || The chassis has been developed by world chassis expert Heinz Keck and features front MacPherson struts and rear multi-link suspension, giving the next generation E6 precise control and agility. || cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life."
14,186,14_camry_highlander_toyota_grand highlander,,"toyota, camry, highlander, suv, drive, hybrid, traction, drivers, road","camry, drive, available, hybrid, convenience, performance, drivers","camry, highlander, toyota, drive, hybrid, convenience, performance, trd, suv","It's easy to see why Grand Highlander is the ultimate adventure SUV. || Want to learn more? Discover Highlander today on toyota.com slash Highlander. || With all of these factors considered, it's clear that Grand Highlander is the stylish SUV for the modern family. Want to learn more? Check out toyota.com slash Grand Highlander. || Camry is getting 39 mpg highway. It has a 2.5 liter engine putting out 203 horsepower. || And here's Camry mixing body color panels right into the black mesh inserts. || And the Camry, not much of a fastback going on here. Just a back."
15,185,15_display_screen_touchscreen_12,,"displays, screens, display, screen, touchscreen, dashboard, interface, driver, controls, panel","display, screen, touchscreen, cluster, digital, instrument, information, interface, center","screen, touchscreen, digital, instrument, interface, displays, curved, gauge, driver","There's the instrument cluster, the main media display, and a 12.3-inch passenger display over there. || Almost all functions are integrated into the slim and frameless display with a 12.3 inch instrument cluster and a 14.9 inch central information display. || Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight. || and that also includes your left hand stack. So on the lower screen you have all of your AC controls. || Now directly in front of you, you have your Virtual Cockpit Plus which is going to be the second generation of our virtual cockpit system. || Now you can hit this view button and it'll minimize your gauges and maximize the information is in the center."
16,185,16_ioniq_hyundai_blue link_charging,,"ioniq, hyundai, ev, vehicle, sonata, electric, car, modular, interior, egmp","charging, new, electric, assist, platform, space, safety, features, avoidance","ioniq, hyundai, charging, electric, blue, assist, platform, egmp, space, safety","So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen. || Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. || We are thrilled to introduce you to Hyundai's first ever IONIQ 5. || But now as a father of three kids, the X5 is my favorite for the moment. || We already started with connectivity 21 years ago when we first launched BMW Connected Drive. || And wireless device charging is right here, which, Gian, is going to come in your Sonata SEL when you have the convenience package."
17,162,17_prius_prius prime_prime_hybrid,,"prius, prime, toyota, hybrid, innovative, efficiency, convenience, performance, standard, drive","hybrid, plug, efficiency, efficient, drive, available, convenience, lineup","prius, prime, hybrid, toyota, plug, efficiency, drive, le, estimated","Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime. || Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. || And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime. || And second, at our Mirafuri facility, another facility in Torino, we collect solar energy from the rooftop and that solar power charges every 500e that leaves the factory. || This is a solar panel roof capable of charging the onboard batteries of the newly redesigned Hyundai Sonata Hybrid. || Now on top of that, that solar panel roof is capable of producing enough electric power to provide an additional 700 miles of driving per year."
18,153,18_key_digital key_digital_unlock,,"hyundai, smartphone, key, fob, car, unlock, pressing, keys, button, lock","key, digital, button, smartphone, fob, door, vehicle, smart, car, app","digital, button, unlock, smartphone, fob, door, lock, hyundai, access, remote","And with the available Hyundai Digital Key 2 Touch, you can unlock your door and start your motor all from your smartphone, no key fob required. || The Hyundai Digital Key transforms your smartphone into a key fob, or you can use this handy key card. || Hyundai Digital Key, allowing you to transform your smartphone into a key fob or you can use this digital key card. || So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person. || You're going to kick underneath the bumper and immediately back up and the hatch will open up for you. || And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you."
19,153,19_hybrid_plug_plug hybrid_bmw,,"hybrid, bmw, hybrids, plug, sedan, toyota, car, powertrain, charging, electric","hybrid, plug, powertrain, electric, new, hybrids, charging, technology, models, improved","hybrid, plug, bmw, powertrain, electric, hybrids, charging, edrive, models, improved","Different plug-in hybrid models are released later with the latest BMW high-voltage battery and plug-in hybrid drive technology. || So the most progressive sports car of the world was a plug-in hybrid or is a plug-in hybrid. || At the same time though, let's not forget it's still a plug-in hybrid. || This isn't your basic boring hybrid. It utilizes the same kind of technology found in the NSX. || All four-cylinder engines have a 12-volt mild hybrid system on board for efficient brake recuperation. || And all six-cylinder engines have a 48-volt mild hybrid system. And the core components of the mild hybrid system are the belt starter generator and the lithium-ion battery as a storage."
20,140,20_corolla_safety_assist_safety sense,,"toyota, safety, corolla, steering, lane, hybrid, drivers, radar, detection, alerts","safety, assist, lane, collision, detection, pedestrian, tracing, departure, pre, sign","corolla, safety, lane, toyota, collision, detection, pedestrian, radar, airbags, steering","Every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. || But Corolla's ingenuity reaches beyond the audio multimedia experience. Every Corolla grade comes standard with Toyota Safety Sense 3.0. which includes pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, road sign assist, and proactive driving assist. || Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. || Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims. || If your wipers are turned on, if the front wheels slip, or if you have an abrupt throttle input, it even activates on grades or when passing. || and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more."
21,136,21_mustang_mach_mustang mach_mustangs,,"mustang, mustangs, ford, mach, suv, vehicle, vehicles, car, electric, pony","mustang, mustangs, vehicle, proportions, electric, new","mustang, mach, mustangs, vehicle, proportions","So I'm always getting asked if the Mustang Mach-E handles like a Mustang, and I can definitely tell you yes. || That was Mustang. It was really a mandate of show us what you've got. || Mustang is a me car. It's about me, it's indulgence. This is a we car. || So thank you for this bloodline of ingenuity, for this brotherhood, for writing the source code for these cars, because it's not yet time for your legacy to go. It's go time for the next generation of Dodge muscle. || And no doubt, just like me, you're probably extremely eager to have a detailed look at the exciting, the all new, all electric Ford Mustang Mach-E. Well, I've got some good news, and I think we all need a bit of that right now, don't we? || electric vehicle and dramatic new member of the iconic and global Mustang family."
22,127,22_design_designers_designer_art,,"designs, designers, design, designer, engineering, theme, presentation, art, sketch, technology","design, designers, designer, art, story, new, signature, different, life","design, designers, designer, art, story, new","Now let's hear from our Design Director, Rob Melville, on the first of those pillars, technical design. || Now let's hear from our design director, Rob Melville, on the first of those pillars, technical design. || I'm great, thanks for coming. Thank you, thank you. How do you feel about the design here? || And every signature has a very specific coming and leaving home light scenario. || Now, this animation of signature 1, 2 and 3, as well as a fourth signature, can be activated when you activate the out-of-drive select vote dynamic. || Okay, so it's a very international network of supply and assembly. Now, a question to you, Ashley, as the designer."
23,126,23_carplay_apple_apple carplay_android,,"smartphone, carplay, iphone, android, mobile, apps, devices, wirelessly, apple, app","music, smartphone, phone, apps, maps, wireless, messages, hotspot, favorite, standard","carplay, android, music, smartphone, apps, maps, wireless, messages, hotspot, connects","Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone. || It'll charge and you have the full Android Auto or Apple CarPlay environment. || including standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from the iPhone. || You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. || The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone. || Contrarily you can hit that same phone button to end a phone call."
24,125,24_pedal_braking_brakes_regenerative braking,,"pedal, braking, driving, drive, brake, brakes, shifters, drives, drivers, steering","pedal, braking, brakes, drive, regenerative, brake, accelerator, paddle, regen","pedal, braking, brakes, regenerative, brake, accelerator, paddle, mode, driving","It drives like a normal car It has an accelerator pedal brake pedal steering wheel shifter. || i-Pedal 3.0 allows you to speed up, slow down, or even come to a complete stop, all just using the accelerator pedal. || So in any one of these drive experiences, you can drive in one pedal or in two pedal drive. || Energy recuperation is an EV feature we now know well, but Audi takes a different approach to one-pedal driving. || This is more efficient than always engaging maximum recuperation. Paddles on the steering wheel allow you to manually choose three different levels of recuperation to suit your drive style. || The main benefit actually is that you drive with zero emissions when you are in the electric mode, of course best if you have also ecological friendly electricity being charged and on the other hand once you need the longer distance driving you have the combustion engine that drives you wherever you want to."
25,116,25_sound_sounds_quiet_exhaust,,"acoustic, audio, soundbar, sound, speakers, sounding, surround, exhaust, noise, exhausts","sound, sounds, quiet, exhaust, noise, car, inside, silent, surround","sound, quiet, exhaust, noise, car, inside, silent, surround","Thanks to the Wumesta premium sound system speakers all around the best technology in the sound business. || Because there's no, especially with this on, there's no sound, you know, to go off. || The Burmeister sound system with virtual surround sound has become even more powerful. || And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall. || The quietness inside the cabin of the Q8 e-tron is something you just have to experience to truly appreciate. || That means this car is acoustically better. Definitely, definitely better than the retractable hot top."
26,112,26_crown_toyota crown_toyota_japan,,"crown, toyota, flagship, electrified, powertrain, performance, vehicle, platinum, drive, driving","crown, performance, generation, sedan, story, new, chief, development, experience","crown, toyota, platinum, performance, generation, sedan, development, flagship, electrified","When it comes to performance, Toyota Crown delivers thanks to its all-hybrid electric powertrain lineup. || I sincerely want the world to know what Japan's crown is all about. || Two years later, the crown team has manifested a crown for the coming era. || Maybe. But that was never the point. The point was that they told us we couldn't sell Hemis. || because you are messing with the crown jewels. Consumers from one of our research clinics were saying, are you guys crazy? || the pike Yes, so I think the exciting times that we have is that we think in platforms."
27,110,27_audi_tron_q8_q5,,"audi, quattro, suv, a6, vehicle, car, a7, a8, tron, q5","tron, quattro, new, sportback, design, past, light, versatility, car","audi, tron, q5, quattro, a6, suv, 2019, rs, a4, sportback","All of this wrapped in Audi's signature drive and build quality. Our most important vehicle in 40 years refined. The Audi Q8 e-tron SUV and Sportback. || An Audi interior is always a premium one and the Q8 e-tron is one of our most unique. || Just as Quattro went on to become the name for every all-wheel drive Audi, the same now goes for e-tron on every Audi electric vehicle. || With the emotional styling of a coupe and the versatility of a sport utility vehicle, the innovative Audi Q8 is the flagship SUV. || The flat roofline, wide body, and frameless side windows add to the personality of the Audi Q8 and contribute to its powerful stature, all while providing generous headroom. || The octagon grille with contoured air inlets and available HD matrix design LED headlights add an aggressive look to the Q8."
28,107,28_america_auto evolution_pre_evolution,,"northpoint, northpointe, ev, promotional, partnership, dealers, cars","electric, pre, evolution, inventory, orders, order, affordable","america, northpoint, electric, pre, evolution, inventory, order, affordable, vehicles","By pre-ordering yours today, you'll lock in that special promotional pricing and be one of America's first to drive a candy. || Today, after much anticipation and with growing market demand, we are proud to announce that Candy is enabling the auto evolution for all with its line of affordable electric vehicles. || How much does it cost? I'm glad you asked. Candy America is offering special promotional pricing for the first 1,000 pre-orders of the K23 as well. || Yes. We have a meeting with the board members. This has got to be a mistake, right? || And now, here is Peter Nota, board member for customer, brands, and sales. || And on that note, I'd like to hand back to Peter Nota."
29,107,29_porsche_taycan_turbo_car,,"porsche, taycan, car, cars, turbo, zuffenhausen, driving, thing, macan, 4s","turbo, car, sports, electric, new, sound, design, beautiful","porsche, taycan, turbo, car, sports, electric, zuffenhausen, alex","The Porsche electric sport sound gives the Taycan a distinctive and emotional sound signature, making it a true Porsche. || We are here with Porsche's first all-electric car, the Taycan. The question is about hydrogen though. || Thank you for your attention. At the end of the day, the most important thing about the Taycan is it is still a true Porsche sports car. It has the soul of a Porsche electrified. || Twin turbos that perform like they're constantly spooled, and a driveline that houses an eight-speed transmission and an all-wheel drive system, standard. || The copied design respects the aesthetics of the coupe and at the same time it becomes a spider which conveys an even sleeker effect to the body of the car. || It seemed that nothing could dent his confidence, even if that something was a Porsche."
30,105,30_19_20_18_21,,"tires, standard, size, 19","black, available, exhaust, standard","spoke, 17, exhaust, standard, awd, forged, grille","First, LE and XLE grades feature a unique front fascia shape and grille design, as well as alloy wheel designs on the gas and all-wheel drive grades, while SE and XSE grades boast their own distinct lower fascia shape, honeycomb grille, and either 18-inch or 19-inch wheels. || Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels. || So these are our 20-inch multi-spoke wheels. The coupe over there, we have our 19 multi-spoke black wheels, so these are available in black as well. || And they also have a new wheel design so these are going to be 21 inch wheels front and rear. || And what you can see here is the 19 inch M light alloy wheel double spoke styling 791M in bicolour jet black. || And if you want to be a bit more individual and a bit more functional, you can also go for the aerodynamic wheel 1001i with a considerable CO2 advantage despite its 20-inch size."
