topic,rank,representative_text
-1,1,"Hello everyone, I'm Steve Kincaid with Honda and we're celebrating the 40th anniversary of the Honda Accord, the best-selling car in America over the past four decades. Today I'm here with the all-new 2017 Accord Hybrid. the most technologically advanced Accord we've ever made."
-1,2,"Over Accord's 40-year history, more than 13 million Accords have been sold to American car buyers. And Accord has played a big part in Honda's U.S. exports since the first U.S.-made Accord boarded a ship in 1987. For four decades, Accord has defined Honda's core values."
-1,3,"We'd like to think that this Accord will ace the ballet test like no other Accord that's come before it. Of course, our story is much more than just styling. This will be the most fun-to-drive Accord ever."
-1,4,"It will automatically ask you to pair it if you don't have one already connected, otherwise you just select the device or the vehicle will automatically connect to the paired device. You can dial the number, store contacts, and voice dial through the voice recognition system. The navigation screen is a nice high res unit."
-1,5,"To start, use your vehicle's iDrive controller to navigate to Settings menu, then Connections, and select Bluetooth. Here, you will see an option to Add New Device. Select this, and then, when you're prompted by the screen, switch over to your iPhone."
-1,6,"Go to Settings, select Bluetooth, and make sure it's enabled. Under Devices, you'll see a list of available devices to pair with your phone. Find your vehicle on this list using the vehicle ID that's displayed on your iDrive screen."
0,1,"Hi there, I'm Johnny Lieberman with Motor Trend and I am driving the all-new Karma Rivero GT. This is a plug-in hybrid vehicle. That means it's got a battery and an electric motor as well as a gasoline engine."
0,2,Range that's a thousand kilometer range This would be the first time an electric vehicle breaks a thousand kilometers a production electric vehicle will travel more than a thousand kilometers a single charge at highway speed But you'll be able to travel from LA to San Francisco and back at highway speed without recharging The point of doing this is to just give the hardcore smackdown to gasoline cars Drive driving a gasoline sports car is gonna feel like a steam engine with a side of quiche This thing will have three motors.
0,3,"So everything again has that feeling, has that feeling of like a very nice 7 series leather so you don't get you don't feel like okay I'm inside of an eco-friendly car obviously the quietness gives you that sensation and and the overall feeling of the car gives you the sensation of a futuristic eco-friendly car but the interior feels as luxurious as you would anticipate a brand new $130,000 BMW would so we'll go through some of the drive modes and we'll talk about this instrument cluster moving over here to the left you have your AC vents which are manually operated with a little tab centrally located tab and everything feels really quality everything feels really tangible to the touch so you know nothing is loose everything has a really quality heavy sensation to it you have your light switch your automatic off your daytime running lamps and full-on and your interior cabin lighting so you do have some information here at the bottom left that can be cycled through with this BC button so as I push this BC button this cycles through and of course you have your turn signals here on this stock functioning your turn signal is pretty easy everything is just like other BMWs so if you're if you're a BMW fan or you have other BMW cars getting into this car would be really easy to function and start driving right away you have your cruise control settings here on the left hand side of the steering wheel and this car is equipped with this, it automatically knows the speed limit where you are and it'll give you a visual signal of the speed limit here and there's a visual, I'm not sure if it shows on the camera, but there's a visual signal of the speed limit in my windscreen with the heads up display, full color heads up display."
0,4,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?"
0,5,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. And it only gets better on the inside with paddle shifters and redesigned sports seats."
0,6,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver."
1,1,"A year from now we'll be showing you the all-new XC90, which will feature Volvo's next generation of safety and driver support technologies. Most importantly though, the all-new XC90 will be the first Volvo model assembled on a scalable platform architecture, or what we like to call it, a SPOT. Going forward, all new Volvo models will be built on these highly adaptive, or should I say, scalable platforms."
1,2,"Now, let's see what makes the new XC90 so special. Thank you. Hi, I'm Florian from the design team here at Volvo and I would like to talk you through the car."
1,3,"There was huge interest when the all-new Volvo XC90 was unveiled to the world press. This car is the start signal for a new era for Volvo cars and the Volvo brand, where design, technology, environmental performance and safety are at a new, higher level. Volvo is well known to everybody, but now they see Volvo developing in direction, bringing in high-tech, very advanced solutions and technology really to strengthen our brand."
1,4,"Maybe not the iPhone 6, but I got an iPhone 5 to fit. Single cup holder up front, two in the rear, flip open the center console and you have a little bit of storage space, a 12-volt power outlet, and a phone clip-in adapter. As far as the steering wheel, on the left-hand side you have your cruise control, and the right-hand side houses your hands-free telephone, voice commands, and radio controls."
1,5,"So when we think back to a couple slides ago when we were sharing that kind of push and pull of the vehicle architecture, there's scores of engineers working on trying to make sure that the vehicle is structurally safe, that it's going to be dynamic in its drive, everything's going to be as light as it can be but be strong."
1,6,"The Titan XD, which you can see over there, recently competed at the Texas Truck Rodeo. Happens once a year in the fall. And the Platinum Reserve walked away with the luxury pickup truck of Texas."
2,1,"He will talk about the expectations of the new Nissan LEAF and explain what Nissan Intelligent Mobility is all about. Ladies and gentlemen, good morning and welcome. Let me start by making one thing clear."
2,2,It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV.
2,3,"The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward."
2,4,"I don't know about you guys, but I have low-grade anxiety when I'm not connected to my device. I get a little bit anxious. I want to be connected literally 24-7."
2,5,"It changes all of those into a much more calm feeling. And this is in bridled mode. In Europe, it's called untamed."
2,6,"For more information on the latest cars, trucks and SUVs, visit the Capital One Auto Learning Center in the link below."
3,1,"Polestar stands for pure, progressive performance. And this is our first product, Polestar 1."
3,2,"So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. But there's another reason why this is a truly exciting day for us here today, because Polestar 2 is our first pure electric Polestar, a true battery electric car. Now, Polestar is dedicated to electric mobility."
3,3,"Bye-bye, Dumbo. Next, let me show you around inside Polestar 2. Now, how do we get in?"
3,4,Bye. Then we have shown some Ospha T4. I don't know how to say Ospha T2.
3,5,"I don't know. Some Ospha T4 in-round check. I said to myself, what do you mean by that?"
3,6,"So it's a really good moment now to cross way over the world on the other side to Shanghai and see how our launch of Focus has been unfolding there in just the last few hours. Let's take a look. Hi Jim, hi Steve, hello there everybody."
4,1,"So now it's time to take a closer look at what it's like actually living with the Mustang Mach-E. And over to my first guest, he is the Mustang Mach-E product manager for Europe, a fellow EV enthusiast, and someone who's been very fortunate to actually live with the Mustang Mach-E prototype for a while now. Stefan Tiniman, welcome, so good to see you. Hello, Nikki."
4,2,"And, you know, the other thing is, is that once we knew we were really able to deliver Mustang performance, then the let's say the excitement, the enthusiasm around delivering our first all electric vehicle as a Mustang just got turned to 11. what we first called Mustang-inspired proposals, but these actually became very quickly the Mustang Mach-E proposals."
4,3,I got my first Mustang before I could even drive. My Mustang is everything to me. I grew up in Vietnam and my first image of a Mustang was everything that I thought was great about America.
4,4,Driven Hall here today. You can see the latest and greatest as we talked about before the latest Ram Allegiance. We've just seen the spec 5 Mustang.
4,5,"And welcome to From Behind the Wheel. My name is Nikki Shields, and we are absolutely thrilled that you're joining us virtually from all around Europe. And no doubt, just like me, you're probably extremely eager to have a detailed look at the exciting, the all new, all electric Ford Mustang Mach-E. Well, I've got some good news, and I think we all need a bit of that right now, don't we?"
4,6,"Because that's exactly why we're all here, to get into the detail of Ford's first ground up. electric vehicle and dramatic new member of the iconic and global Mustang family. Now, as we're going to find out over the next 30 minutes, the Mach-E accomplishes the rare feat of combining head-turning design, dynamic, thrilling performance and forward-looking, intelligent and connected technology in an all-electric SUV."
5,1,Rogue is all about style. Rogue is all about sophistication. Rogue is all about game-changing technology.
5,2,"The Neeshawn Edition, by the way, excuse me, the Midnight Edition for the Rogue is available in multiple colors. Head to Nissan.com if you want to check those out and get more details on exactly what the Rogue offers. What I love about it, again, is crossover of the year."
5,3,"Not only do we have a live performance coming up, we also have a reveal. Now I took you through and showed you the 100% electric, of course, Nissan Leaf, that Midnight Edition Rogue, and of course these three amazing vehicles for the collaboration with Star Wars The Last Jedi in theaters December 15th."
5,4,"I'm truly in love with them. I don't know if I'll be able to find them in the future. and when I saw him, I saw him for a long time."
5,5,"And when I saw him, I saw him in the universe. I saw him from the first time. I saw him in the universe."
5,6,I saw him from the first time. I saw him in the universe. I saw him in the universe.
6,1,"The 2017 Pacifica will be in dealer showrooms this spring and the Pacifica Hybrid later this year. with an all-new architecture, new level of convenience, safety, connectivity, entertainment, cargo, and passenger space unmatched by the competition, all wrapped in a stylish design that will bring pride of ownership to the minivan segment, a no compromise offering, eight passenger seating, or 80 miles per gallon, only from Chrysler. Thank you."
6,2,"When it comes to Chrysler and Pacifica, we're all about defining segments and defining moments. And what you see on stage here is yet another. With its updated athletic look, the 21 Pacifica has more technology, more functionality, and now with the segment's most advanced all-wheel drive system, the segment's most capability, and more standard safety than any other vehicle in the industry."
6,3,"The all-new 2017 Chrysler Pacifica delivers on everything our owners said they needed, wanted, and more. So let's take a minute to unbox the innovations you'll find in the new Pacifica. From any angle, it's easy to see that Pacifica makes a bold styling statement."
6,4,start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims.
6,5,"And as if all that wasn't enough, Acura went ahead and made its Acura watch, advanced safety a driver assistance technology package, standard, huh, standard, that has a nice ring to it doesn't it? This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims."
6,6,"So, I don't know, probably not at all. However, as we have already discussed, naphronas are the most important people in the world. And if you want to give us an opportunity to talk about naphronas when we are growing up, then we can talk about naphronas in the future."
